Zip Code,Number of Households,Median income (dollars)
10001,13311,96787
10002,33790,35607
10003,25158,129981
10004,1822,204949
10005,4649,184681
10006,1811,185268
10007,2940,250000
10009,29356,68220
10010,16499,139188
10011,28775,136208
10012,12574,110490
10013,12294,130675
10014,17139,136154
10016,29005,124647
10017,9858,130417
10018,4321,136360
10019,27340,101651
10020,0,-1
10021,22084,130968
10022,17977,138661
10023,33770,137347
10024,28850,137126
10025,40188,99067
10026,15362,64716
10027,23835,57010
10028,24974,131013
10029,31485,33801
10030,12817,45555
10031,21863,55721
10032,21814,53690
10033,19689,66902
10034,15774,63556
10035,14740,28408
10036,17437,97720
10037,9797,50686
10038,10800,95640
10039,11490,41363
10040,16100,53199
10044,5047,112658
10065,15708,153002
10069,3106,130556
10075,12075,123854
10103,0,-1
10110,0,-1
10111,0,-1
10112,0,-1
10115,0,-1
10119,0,-1
10128,29698,117926
10152,0,-1
10153,0,-1
10154,0,-1
10162,622,96555
10165,0,-1
10167,0,-1
10168,0,-1
10169,0,-1
10170,0,-1
10171,0,-1
10172,0,-1
10173,0,-1
10174,0,-1
10177,0,-1
10199,0,-1
10271,0,-1
10278,0,-1
10279,40,-1
10280,4524,170385
10282,2499,250000
10301,14466,70065
10302,5982,72394
10303,8490,70315
10304,14928,64394
10305,15379,77136
10306,19704,83309
10307,5068,108808
10308,10245,110478
10309,11750,102730
10310,8678,86895
10311,0,-1
10312,21107,96785
10314,31363,90306
10451,20229,32598
10452,27018,31351
10453,27401,31778
10454,13573,23337
10455,14826,29439
10456,31449,31645
10457,24333,32378
10458,28705,37886
10459,17058,31896
10460,20212,28831
10461,19122,60802
10462,28981,57266
10463,29490,60397
10464,1874,101935
10465,16122,74889
10466,25009,58405
10467,37713,40639
10468,26917,37777
10469,22886,67190
10470,6096,64643
10471,8714,93657
10472,22221,36038
10473,21940,47856
10474,3506,28419
10475,18653,53819
11004,4808,97845
11005,1609,75742
11010,8089,113148
11020,1848,160909
11021,7623,106978
11023,2964,108906
11024,1953,124837
11030,6277,210380
11040,13078,132767
11042,0,-1
11050,11103,134473
11096,2558,59943
11101,14951,89525
11102,12960,81462
11103,15575,81677
11104,11281,75772
11105,15274,86516
11106,16975,71865
11109,2777,169425
11201,29262,139697
11203,29249,57707
11204,23520,54984
11205,16779,62952
11206,31489,43065
11207,34010,42276
11208,34368,45946
11209,29186,79524
11210,21851,70776
11211,40821,90871
11212,31207,29385
11213,26377,48318
11214,31717,57639
11215,28714,144330
11216,25771,77343
11217,18627,122598
11218,25219,78249
11219,23871,41907
11220,27849,55119
11221,33067,65548
11222,17941,96435
11223,27709,56908
11224,19272,35776
11225,24177,65200
11226,37483,60896
11228,15473,76278
11229,31099,66332
11230,31254,57770
11231,15871,108525
11232,8936,74072
11233,31811,48278
11234,32227,84116
11235,32492,56308
11236,34018,74015
11237,17383,57375
11238,25443,100568
11239,6771,29571
11351,0,-1
11354,20115,45838
11355,28422,45527
11356,7346,64324
11357,14437,82858
11358,12923,70777
11359,0,-1
11360,8293,84356
11361,10659,86545
11362,7153,92212
11363,2779,111094
11364,13141,87135
11365,15702,70102
11366,4514,91795
11367,13930,64332
11368,28163,56904
11369,9566,61860
11370,7550,67582
11371,0,-1
11372,23842,61239
11373,31255,56835
11374,19044,75266
11375,32509,88117
11377,31601,59910
11378,12887,82326
11379,13561,89700
11385,35589,77044
11411,6183,104269
11412,11259,85235
11413,12694,91836
11414,11058,75599
11415,7849,75476
11416,7409,73471
11417,8887,79210
11418,11250,73856
11419,12497,79589
11420,13042,85190
11421,11325,77738
11422,9951,93397
11423,9838,70990
11424,0,-1
11425,0,-1
11426,6287,102770
11427,7745,81688
11428,6121,77466
11429,8006,82532
11430,0,-1
11432,18790,66270
11433,10655,62453
11434,21510,65845
11435,19310,69873
11436,5496,72962
11451,0,-1
11501,7812,103809
11507,2419,121861
11509,742,135938
11510,11022,122090
11514,1709,97113
11516,2758,84421
11518,4057,87596
11520,14473,86070
11530,9303,169323
11542,10365,78242
11545,4485,140563
11547,214,48636
11548,477,131806
11549,0,-1
11550,17038,70728
11552,7206,129091
11553,6943,83570
11554,12339,109895
11556,0,-1
11557,2658,137857
11558,2827,103508
11559,2427,96205
11560,2366,149865
11561,15697,112522
11563,7738,117988
11565,3278,130664
11566,11422,152266
11568,1067,224712
11569,555,-1
11570,10516,121592
11572,10206,116224
11575,4365,90707
11576,4451,203534
11577,4248,159388
11579,1899,160250
11580,13015,118392
11581,6908,126429
11590,14617,113338
11596,3542,137688
11598,3902,151269
11691,21163,52605
11692,7408,53077
11693,5210,52946
11694,8069,87755
11697,1295,116205
